iter	Passed	Remaining
140	1484	9041
141	1493	9023
142	1504	9014
143	1513	8998
144	1522	8979
145	1534	8973
146	1543	8957
147	1553	8940
148	1563	8927
149	1572	8908
150	1581	8892
151	1590	8874
152	1602	8869
153	1612	8857
154	1616	8811
155	1627	8803
156	1637	8794
157	1648	8783
158	1658	8772
159	1668	8758
160	1677	8740
161	1686	8724
162	1695	8707
163	1704	8689
164	1713	8673
165	1723	8658
166	1724	8602
167	1734	8587
168	1743	8573
169	1752	8556
170	1758	8525
171	1769	8518
172	1780	8511
173	1789	8494
174	1798	8478
175	1807	8461
176	1815	8442
177	1824	8426
178	1833	8409
179	1843	8398
180	1854	8389
181	1863	8374
182	1874	8367
183	1883	8353
184	1892	8337
185	1901	8320
186	1911	8309
187	1919	8291
188	1928	8274
189	1938	8264
190	1948	8253
191	1957	8238
192	1966	8223
193	1968	8179
194	1977	8163
195	1986	8149
196	1997	8143
197	2007	8131
198	2017	8119
199	2027	8108
200	2036	8096
201	2046	8083
202	2055	8071
203	2067	8067
204	2077	8055
205	2087	8044
206	2096	8030
207	2106	8019
208	2115	8005
209	2125	7995
210	2134	7981
211	2145	7975
212	2154	7960
213	2164	7951
214	2174	7938
215	2185	7931
216	2195	7920
217	2204	7909
218	2213	7895
219	2223	7883
220	2232	7869
221	2242	7859
222	2253	7851
223	2262	7837
224	2271	7823
225	2281	7815
226	2292	7806
227	2301	7792
228	2310	7780
229	2319	7766
230	2328	7752
231	2337	7738
232	2346	7723
233	2354	7707
234	2364	7698
235	2373	7684
236	2382	7670
237	2393	7663
238	2401	7647
239	2410	7634
240	2420	7622
241	2429	7608
242	2438	7597
243	2447	7583
244	2455	7568
245	2466	7558
246	2475	7547
247	2484	7533
248	2492	7518
249	2502	7506
250	2511	7493
251	2519	7479
252	2529	7469
253	2539	7458
254	2548	7446
255	2557	7433
256	2567	7423
257	2576	7410
258	2586	7399
259	2595	7386
260	2605	7376
261	2614	7364
262	2623	7353
263	2632	7340
264	2643	7331
265	2652	7319
266	2661	7307
267	2670	7293
268	2679	7281
269	2689	7271
270	2698	7258
271	2706	7244
272	2716	7233
273	2725	7220
274	2736	7214
275	2745	7201
276	2754	7188
277	2763	7175
278	2772	7164
279	2781	7152
280	2790	7139
281	2799	7127
282	2809	7116
283	2817	7104
284	2826	7092
285	2837	7084
286	2846	7071
287	2855	7058
288	2864	7046
289	2872	7033
290	2882	7023
291	2891	7011
292	2901	7000
293	2910	6988
294	2919	6977
295	2928	6966
296	2938	6956
297	2948	6945
298	2957	6934
299	2968	6925
300	2977	6915
301	2988	6906
302	2998	6896
303	3009	6890
304	3019	6881
305	3029	6871
306	3038	6859
307	3049	6852
308	3059	6842
309	3070	6834
310	3081	6826
311	3093	6820
312	3095	6794
313	3105	6783
314	3115	6775
315	3125	6764
316	3134	6752
317	3142	6740
318	3151	6727
319	3161	6719
320	3172	6711
321	3182	6701
322	3191	6689
323	3200	6676
324	3208	6664
325	3217	6653
326	3227	6642
327	3238	6634
328	3248	6625
329	3259	6617
330	3269	6607
331	3279	6598
332	3288	6586
333	3298	6577
334	3307	6565
335	3316	6553
336	3324	6541
337	3336	6533
338	3345	6522
339	3354	6512
340	3365	6503
341	3374	6493
342	3384	6483
343	3394	6473
344	3404	6463
345	3413	6451
346	3421	6438
347	3430	6426
348	3439	6415
349	3448	6403
350	3458	6395
351	3467	6383
352	3477	6373
353	3486	6363
354	3497	6353
355	3507	6344
356	3516	6333
357	3525	6322
358	3535	6311
359	3543	6299
360	3552	6288
361	3562	6279
362	3572	6268
363	3580	6256
364	3591	6247
365	3601	6238
366	3610	6226
367	3619	6216
368	3629	6206
369	3640	6198
370	3649	6186
371	3658	6176
372	3668	6167
373	3677	6155
374	3687	6146
375	3697	6136
376	3707	6127
377	3716	6115
378	3725	6104
379	3734	6093
380	3743	6082
381	3753	6072
382	3764	6064
383	3773	6053
384	3783	6044
385	3793	6033
386	3802	6023
387	3811	6012
388	3820	6000
389	3830	5991
390	3841	5983
391	3851	5973
392	3861	5963
393	3871	5954
394	3882	5945
395	3890	5933
396	3898	5921
397	3907	5909
398	3915	5898
399	3925	5887
400	3933	5876
401	3943	5866
402	3952	5855
403	3961	5843
404	3970	5833
405	3980	5823
406	3989	5813
407	3999	5802
408	4007	5791
409	4016	5779
410	4025	5769
411	4036	5760
412	4046	5750
413	4057	5742
414	4067	5733
415	4077	5724
416	4087	5714
417	4100	5709
418	4109	5699
419	4119	5688
420	4130	5680
421	4142	5673
422	4152	5664
423	4161	5653
424	4170	5642
425	4179	5632
426	4189	5621
427	4199	5612
428	4209	5603
429	4218	5592
430	4227	5581
431	4237	5571
432	4247	5562
433	4257	5551
434	4267	5542
435	4276	5531
436	4288	5524
437	4298	5514
438	4307	5504
439	4317	5495
440	4326	5484
441	4335	5473
442	4344	5462
443	4353	5451
444	4364	5442
445	4374	5433
446	4384	5424
447	4394	5414
448	4405	5406
449	4415	5397
450	4425	5387
451	4436	5378
452	4446	5368
453	4456	5360
454	4467	5351
455	4476	5340
456	4485	5330
457	4495	5319
458	4506	5311
459	4517	5303
460	4529	5296
461	4538	5285
462	4548	5275
463	4558	5266
464	4568	5255
465	4578	5246
466	4588	5236
467	4597	5225
468	4607	5216
469	4617	5206
470	4628	5198
471	4639	5189
472	4648	5178
473	4660	5171
474	4670	5161
475	4679	5151
476	4688	5140
477	4697	5130
478	4707	5119
479	4716	5109
480	4726	5099
481	4734	5088
482	4744	5078
483	4754	5068
484	4764	5059
485	4774	5049
486	4783	5039
487	4793	5029
488	4804	5020
489	4813	5010
490	4824	5001
491	4836	4993
492	4845	4982
493	4854	4972
494	4865	4963
495	4873	4952
496	4882	4941
497	4891	4931
498	4900	4920
499	4911	4911
500	4921	4901
501	4932	4892
502	4941	4882
503	4951	4872
504	4960	4862
505	4971	4853
506	4981	4844
507	4992	4835
508	5002	4825
509	5012	4815
510	5022	4806
511	5032	4796
512	5043	4787
513	5054	4778
514	5064	4769
515	5074	4759
516	5084	4750
517	5093	4739
518	5104	4731
519	5114	4720
520	5123	4710
521	5135	4702
522	5145	4692
523	5155	4683
524	5164	4672
525	5175	4663
526	5186	4655
527	5196	4645
528	5206	4635
529	5216	4625
530	5226	4616
531	5235	4605
532	5245	4595
533	5255	4585
534	5264	4575
535	5274	4565
536	5285	4556
537	5296	4547
538	5305	4537
539	5317	4529
540	5328	4520
541	5337	4510
542	5347	4500
543	5357	4490
544	5366	4480
545	5375	4470
546	5385	4460
547	5395	4450
548	5405	4440
549	5414	4430
550	5423	4419
551	5432	4409
552	5442	4399
553	5452	4389
554	5461	4379
555	5470	4368
556	5480	4358
557	5490	4349
558	5500	4339
559	5509	4328
560	5518	4318
561	5528	4308
562	5537	4297
563	5546	4287
564	5556	4277
565	5565	4267
566	5575	4257
567	5585	4247
568	5595	4238
569	5606	4229
570	5615	4219
571	5626	4209
572	5636	4200
573	5645	4189
574	5655	4179
575	5665	4170
576	5675	4160
577	5684	4150
578	5694	4140
579	5704	4130
580	5713	4120
581	5722	4110
582	5731	4099
583	5741	4089
584	5751	4079
585	5761	4070
586	5771	4060
587	5783	4052
588	5793	4042
589	5803	4033
590	5813	4022
591	5822	4012
592	5832	4003
593	5842	3993
594	5851	3982
595	5861	3973
596	5873	3965
597	5883	3954
598	5892	3944
599	5902	3935
600	5911	3924
601	5920	3914
602	5929	3904
603	5939	3894
604	5951	3885
605	5960	3875
606	5970	3865
607	5982	3856
608	5992	3847
609	6001	3837
610	6010	3826
611	6020	3816
612	6029	3806
613	6039	3797
614	6050	3787
615	6061	3778
616	6071	3768
617	6080	3758
618	6089	3748
619	6100	3739
620	6111	3729
621	6120	3719
622	6129	3709
623	6139	3699
624	6148	3689
625	6158	3679
626	6167	3669
627	6179	3660
628	6189	3650
629	6198	3640
630	6209	3631
631	6218	3621
632	6228	3610
633	6240	3602
634	6251	3593
635	6261	3583
636	6272	3574
637	6282	3564
638	6292	3555
639	6302	3545
640	6313	3535
641	6323	3526
642	6333	3516
643	6343	3506
644	6354	3497
645	6364	3487
646	6375	3478
647	6389	3470
648	6401	3462
649	6412	3453
650	6422	3443
651	6434	3434
652	6445	3424
653	6455	3415
654	6464	3404
655	6473	3394
656	6482	3384
657	6492	3374
658	6500	3363
659	6510	3353
660	6519	3343
661	6528	3333
662	6537	3323
663	6546	3312
664	6556	3302
665	6566	3293
666	6576	3283
667	6587	3273
668	6597	3264
669	6605	3253
670	6615	3243
671	6623	3233
672	6634	3223
673	6642	3213
674	6651	3202
675	6660	3192
676	6669	3182
677	6679	3172
678	6689	3162
679	6698	3152
680	6708	3142
681	6717	3132
682	6728	3122
683	6738	3113
684	6748	3103
685	6757	3093
686	6768	3083
687	6778	3074
688	6788	3064
689	6799	3054
690	6811	3046
691	6821	3036
692	6832	3026
693	6842	3016
694	6853	3007
695	6863	2997
696	6874	2988
697	6884	2978
698	6895	2969
699	6905	2959
700	6916	2950
701	6927	2940
702	6936	2930
703	6947	2920
704	6957	2911
705	6968	2901
706	6978	2891
707	6987	2882
708	6997	2872
709	7007	2862
710	7018	2852
711	7028	2843
712	7039	2833
713	7049	2823
714	7059	2813
715	7068	2803
716	7077	2793
717	7087	2783
718	7096	2773
719	7105	2763
720	7114	2753
721	7125	2743
722	7135	2733
723	7145	2723
724	7154	2713
725	7163	2703
726	7171	2693
727	7181	2683
728	7192	2673
729	7201	2663
730	7211	2653
731	7220	2643
732	7230	2633
733	7240	2623
734	7248	2613
735	7258	2603
736	7268	2593
737	7279	2584
738	7291	2575
739	7299	2564
740	7308	2554
741	7317	2544
742	7325	2533
743	7334	2523
744	7343	2513
745	7352	2503
746	7362	2493
747	7371	2483
748	7380	2473
749	7390	2463
750	7399	2453
751	7410	2443
752	7419	2433
753	7428	2423
754	7438	2413
755	7447	2403
756	7457	2393
757	7468	2384
758	7481	2375
759	7492	2366
760	7505	2357
761	7515	2347
762	7525	2337
763	7536	2327
764	7545	2317
765	7555	2308
766	7565	2298
767	7575	2288
768	7586	2278
769	7596	2269
770	7605	2259
771	7615	2249
772	7624	2239
773	7634	2229
774	7643	2219
775	7654	2209
776	7663	2199
777	7672	2189
778	7682	2179
779	7690	2169
780	7699	2159
781	7708	2149
782	7717	2138
783	7726	2128
784	7735	2118
785	7745	2108
786	7754	2098
787	7764	2088
788	7772	2078
789	7782	2068
790	7792	2058
791	7802	2049
792	7812	2039
793	7821	2029
794	7831	2019
795	7841	2009
796	7853	2000
797	7862	1990
798	7871	1980
799	7882	1970
800	7891	1960
801	7901	1950
802	7910	1940
803	7920	1930
804	7928	1920
805	7939	1910
806	7947	1900
807	7956	1890
808	7966	1880
809	7975	1870
810	7986	1861
811	7996	1851
812	8007	1841
813	8016	1831
814	8026	1821
815	8035	1811
816	8044	1801
817	8053	1791
818	8062	1781
819	8073	1772
820	8085	1762
821	8096	1753
822	8107	1743
823	8117	1733
824	8126	1723
825	8135	1713
826	8144	1703
827	8154	1693
828	8164	1684
829	8174	1674
830	8183	1664
831	8192	1654
832	8201	1644
833	8209	1634
834	8218	1624
835	8227	1614
836	8236	1603
837	8245	1594
838	8256	1584
839	8264	1574
840	8273	1564
841	8284	1554
842	8293	1544
843	8301	1534
844	8311	1524
845	8320	1514
846	8329	1504
847	8338	1494
848	8346	1484
849	8355	1474
850	8365	1464
851	8375	1454
852	8384	1444
853	8393	1434
854	8402	1425
855	8414	1415
856	8423	1405
857	8432	1395
858	8442	1385
859	8453	1376
860	8463	1366
861	8473	1356
862	8483	1346
863	8494	1337
864	8503	1327
865	8513	1317
866	8524	1307
867	8534	1297
868	8544	1288
869	8553	1278
870	8563	1268
871	8574	1258
872	8584	1248
873	8592	1238
874	8603	1229
875	8612	1219
876	8622	1209
877	8631	1199
878	8641	1189
879	8650	1179
880	8658	1169
881	8668	1159
882	8677	1149
883	8687	1139
884	8697	1130
885	8706	1120
886	8715	1110
887	8724	1100
888	8733	1090
889	8742	1080
890	8752	1070
891	8761	1060
892	8771	1050
893	8780	1041
894	8790	1031
895	8799	1021
896	8807	1011
897	8816	1001
898	8825	991
899	8833	981
900	8843	971
901	8852	961
902	8861	951
903	8870	942
904	8880	932
905	8890	922
906	8899	912
907	8908	902
908	8917	892
909	8926	882
910	8935	872
911	8944	863
912	8953	853
913	8962	843
914	8972	833
915	8981	823
916	8990	813
917	9001	804
918	9010	794
919	9021	784
920	9031	774
921	9040	764
922	9049	754
923	9058	745
924	9068	735
925	9079	725
926	9089	715
927	9099	705
928	9107	696
929	9118	686
930	9127	676
931	9135	666
932	9145	656
933	9154	646
934	9165	637
935	9175	627
936	9184	617
937	9194	607
938	9203	597
939	9214	588
940	9223	578
941	9233	568
942	9242	558
943	9252	548
944	9262	539
945	9271	529
946	9280	519
947	9289	509
948	9300	499
949	9310	490
950	9319	480
951	9328	470
952	9339	460
953	9349	450
954	9359	441
955	9369	431
956	9378	421
957	9388	411
958	9397	401
959	9408	392
960	9417	382
961	9427	372
962	9437	362
963	9446	352
964	9456	342
965	9466	333
966	9475	323
967	9484	313
968	9495	303
969	9505	293
970	9517	284
971	9526	274
972	9536	264
973	9545	254
974	9555	245
975	9564	235
976	9574	225
977	9585	215
978	9594	205
979	9603	195
980	9613	186
981	9623	176
982	9633	166
983	9642	156
984	9652	146
985	9662	137
986	9672	127
987	9682	117
988	9694	107
989	9703	98
990	9713	88
991	9723	78
992	9733	68
993	9742	58
994	9752	49
995	9762	39
996	9771	29
997	9781	19
998	9790	9
999	9800	0
